id	jurisdiction	full_name	short_name	in_use	start_date	end_date	parent_court_id
texdistct434	ST	Texas 433rd Judicial District Court	Tex. 433rd Jud. Dist. Ct.	f			texdistct
texdistct435	ST	Texas 434th Judicial District Court	Tex. 434th Jud. Dist. Ct.	f			texdistct
texdistct436	ST	Texas 435th Judicial District Court	Tex. 435th Jud. Dist. Ct.	f			texdistct
texdistct437	ST	Texas 436th Judicial District Court	Tex. 436th Jud. Dist. Ct.	f			texdistct
texdistct438	ST	Texas 437th Judicial District Court	Tex. 437th Jud. Dist. Ct.	f			texdistct
texdistct439	ST	Texas 438th Judicial District Court	Tex. 438th Jud. Dist. Ct.	f			texdistct
texdistct44	ST	Texas 43rd Judicial District Court	Tex. 43rd Jud. Dist. Ct.	f			texdistct
texdistct440	ST	Texas 439th Judicial District Court	Tex. 439th Jud. Dist. Ct.	f			texdistct
texdistct441	ST	Texas 440th Judicial District Court	Tex. 440th Jud. Dist. Ct.	f			texdistct
texdistct442	ST	Texas 441st Judicial District Court	Tex. 441st Jud. Dist. Ct.	f			texdistct
texdistct443	ST	Texas 442nd Judicial District Court	Tex. 442nd Jud. Dist. Ct.	f			texdistct
texdistct444	ST	Texas 443rd Judicial District Court	Tex. 443rd Jud. Dist. Ct.	f			texdistct
texdistct445	ST	Texas 444th Judicial District Court	Tex. 444th Jud. Dist. Ct.	f			texdistct
texdistct446	ST	Texas 445th Judicial District Court	Tex. 445th Jud. Dist. Ct.	f			texdistct
texdistct447	ST	Texas 446th Judicial District Court	Tex. 446th Jud. Dist. Ct.	f			texdistct
texdistct448	ST	Texas 447th Judicial District Court	Tex. 447th Jud. Dist. Ct.	f			texdistct
texdistct449	ST	Texas 448th Judicial District Court	Tex. 448th Jud. Dist. Ct.	f			texdistct
texdistct45	ST	Texas 44th Judicial District Court	Tex. 44th Jud. Dist. Ct.	f			texdistct
texdistct450	ST	Texas 449th Judicial District Court	Tex. 449th Jud. Dist. Ct.	f			texdistct
texdistct451	ST	Texas 450th Judicial District Court	Tex. 450th Jud. Dist. Ct.	f			texdistct
texdistct452	ST	Texas 451st Judicial District Court	Tex. 451st Jud. Dist. Ct.	f			texdistct
texdistct453	ST	Texas 452nd Judicial District Court	Tex. 452nd Jud. Dist. Ct.	f			texdistct
texdistct454	ST	Texas 453rd Judicial District Court	Tex. 453rd Jud. Dist. Ct.	f			texdistct
texdistct455	ST	Texas 454th Judicial District Court	Tex. 454th Jud. Dist. Ct.	f			texdistct
texdistct456	ST	Texas 455th Judicial District Court	Tex. 455th Jud. Dist. Ct.	f			texdistct
texdistct457	ST	Texas 456th Judicial District Court	Tex. 456th Jud. Dist. Ct.	f			texdistct
texdistct458	ST	Texas 457th Judicial District Court	Tex. 457th Jud. Dist. Ct.	f			texdistct
texdistct459	ST	Texas 458th Judicial District Court	Tex. 458th Jud. Dist. Ct.	f			texdistct
texdistct46	ST	Texas 45th Judicial District Court	Tex. 45th Jud. Dist. Ct.	f			texdistct
texdistct460	ST	Texas 459th Judicial District Court	Tex. 459th Jud. Dist. Ct.	f			texdistct
texdistct461	ST	Texas 460th Judicial District Court	Tex. 460th Jud. Dist. Ct.	f			texdistct
texdistct462	ST	Texas 461st Judicial District Court	Tex. 461st Jud. Dist. Ct.	f			texdistct
texdistct463	ST	Texas 462nd Judicial District Court	Tex. 462nd Jud. Dist. Ct.	f			texdistct
texdistct464	ST	Texas 463rd Judicial District Court	Tex. 463rd Jud. Dist. Ct.	f			texdistct
texdistct465	ST	Texas 464th Judicial District Court	Tex. 464th Jud. Dist. Ct.	f			texdistct
texdistct466	ST	Texas 465th Judicial District Court	Tex. 465th Jud. Dist. Ct.	f			texdistct
texdistct467	ST	Texas 466th Judicial District Court	Tex. 466th Jud. Dist. Ct.	f			texdistct
texdistct468	ST	Texas 467th Judicial District Court	Tex. 467th Jud. Dist. Ct.	f			texdistct
texdistct469	ST	Texas 468th Judicial District Court	Tex. 468th Jud. Dist. Ct.	f			texdistct
texdistct47	ST	Texas 46th Judicial District Court	Tex. 46th Jud. Dist. Ct.	f			texdistct
texdistct470	ST	Texas 469th Judicial District Court	Tex. 469th Jud. Dist. Ct.	f			texdistct
texdistct471	ST	Texas 470th Judicial District Court	Tex. 470th Jud. Dist. Ct.	f			texdistct
texdistct472	ST	Texas 471st Judicial District Court	Tex. 471st Jud. Dist. Ct.	f			texdistct
texdistct473	ST	Texas 472nd Judicial District Court	Tex. 472nd Jud. Dist. Ct.	f			texdistct
texdistct474	ST	Texas 473rd Judicial District Court	Tex. 473rd Jud. Dist. Ct.	f			texdistct
texdistct475	ST	Texas 474th Judicial District Court	Tex. 474th Jud. Dist. Ct.	f			texdistct
texdistct476	ST	Texas 475th Judicial District Court	Tex. 475th Jud. Dist. Ct.	f			texdistct
texdistct477	ST	Texas 476th Judicial District Court	Tex. 476th Jud. Dist. Ct.	f			texdistct
texdistct478	ST	Texas 477th Judicial District Court	Tex. 477th Jud. Dist. Ct.	f			texdistct
